Date,Open,High,Low,Close,Adj Close,Volume
2018-01-22,13750.000000,13900.000000,13650.000000,13900.000000,11742.392578,89968
2018-01-23,13850.000000,13950.000000,13800.000000,13900.000000,11742.392578,95285
2018-01-24,13950.000000,14550.000000,13900.000000,14550.000000,12291.498047,296040
2018-01-25,14550.000000,14900.000000,14450.000000,14800.000000,12502.691406,192093
2018-01-26,14900.000000,15100.000000,14800.000000,15000.000000,12671.648438,208249
2018-01-29,15000.000000,15100.000000,14800.000000,15000.000000,12671.648438,159553
2018-01-30,14950.000000,15350.000000,14900.000000,15300.000000,12925.080078,259166
2018-01-31,15300.000000,15550.000000,15050.000000,15500.000000,13094.035156,166376
2018-02-01,15600.000000,15700.000000,15250.000000,15250.000000,12882.842773,171795
2018-02-02,15350.000000,15450.000000,15150.000000,15450.000000,13051.795898,178495
2018-02-05,15250.000000,15600.000000,15050.000000,15450.000000,13051.795898,224691
2018-02-06,15200.000000,15600.000000,14850.000000,15600.000000,13178.514648,377368
2018-02-07,15750.000000,16400.000000,15700.000000,15900.000000,13431.945313,521385
2018-02-08,16000.000000,16050.000000,15400.000000,15400.000000,13009.558594,147973
2018-02-09,15300.000000,15300.000000,14950.000000,15150.000000,12798.364258,138522
2018-02-12,15100.000000,15100.000000,14700.000000,14750.000000,12460.453125,117420
2018-02-13,14700.000000,14950.000000,14700.000000,14700.000000,12418.213867,73573
2018-02-14,14900.000000,15100.000000,14600.000000,14900.000000,12587.169922,91202
2018-02-19,15000.000000,15450.000000,14800.000000,15350.000000,12967.320313,99934
2018-02-20,15450.000000,15700.000000,15300.000000,15650.000000,13220.752930,108179
2018-02-21,15650.000000,15800.000000,15450.000000,15650.000000,13220.752930,112663
2018-02-22,15750.000000,15900.000000,15550.000000,15650.000000,13220.752930,102897
2018-02-23,15800.000000,16550.000000,15650.000000,16200.000000,13685.379883,406496
2018-02-26,16500.000000,16500.000000,16050.000000,16250.000000,13727.618164,174585
2018-02-27,16200.000000,16500.000000,16000.000000,16200.000000,13685.379883,162214
2018-02-28,16200.000000,16750.000000,16050.000000,16600.000000,14023.290039,257648
2018-03-02,16600.000000,16650.000000,16200.000000,16350.000000,13812.096680,112972
2018-03-05,16400.000000,16650.000000,15950.000000,16000.000000,13516.424805,97100
2018-03-06,16050.000000,16400.000000,15800.000000,16150.000000,13643.140625,101035
2018-03-07,16150.000000,16500.000000,16050.000000,16250.000000,13727.618164,79342
2018-03-08,16350.000000,16500.000000,15950.000000,15950.000000,13474.184570,106285
2018-03-09,16100.000000,16150.000000,15800.000000,15950.000000,13474.184570,122472
2018-03-12,16000.000000,16050.000000,15800.000000,15900.000000,13431.945313,82669
2018-03-13,16000.000000,16450.000000,15800.000000,16250.000000,13727.618164,113706
2018-03-14,16150.000000,16400.000000,16000.000000,16100.000000,13600.903320,69306
2018-03-15,16100.000000,16400.000000,16100.000000,16300.000000,13769.856445,68521
